trial_id,device,sample,relative_time_s,valid,acc_x_g,acc_y_g,acc_z_g,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,dynamic_acceleration_proxy_g,gyro_magnitude_deg_s
A10-R10,WTRhand,83,1.66,True,1.2331000857468204,-1.6756299021559764,1.299477611595579,-200.33406379535776,-125.5273499453067,95.64957684205883,1.452939757414807,255.02881062954216
A10-R10,WTRhand,84,1.68,True,0.5899761651030038,-1.454658956179729,0.9488185416927651,-164.34093124644028,-0.42045757074691537,90.84078497258184,0.8342195013802276,187.77690667904523
A10-R10,WTRhand,85,1.7,True,-0.12106132175254376,-1.3777972807147951,0.608722712708585,-128.46753873280915,77.4055886549625,28.057877686446467,0.5111335253169575,152.58695279529854
A10-R10,WTRhand,86,1.72,True,-0.5241795122167948,-1.4246290186993185,0.4171854756379175,-97.96568198838636,85.342144503945,-49.79465985575819,0.5742857818805502,139.1404492810503
A10-R10,WTRhand,87,1.74,True,-0.5263768922965613,-1.4839543783227946,0.38415096371547025,-78.1987998727565,56.39852442658636,-95.35748722661019,0.6207298333191447,135.60566444366845
A10-R10,WTRhand,88,1.76,True,-0.3451630440174783,-1.4645585519443711,0.40549483109080964,-69.20908637339406,37.00373698698003,-101.89729378933453,0.5583630312190317,128.61661117146366
A10-R10,WTRhand,89,1.78,True,-0.22299306663775215,-1.3655320171453438,0.3862582327162749,-67.7248946774714,43.058733024272264,-96.54906944328721,0.43652324031274925,125.54855100356534
A10-R10,WTRhand,90,1.8,True,-0.2152378286470345,-1.2604163259384369,0.32502504816128264,-70.65770036009015,60.69106408593204,-101.67764982314071,0.3193247968203592,137.8922055578785
A10-R10,WTRhand,91,1.82,True,-0.24265215574851398,-1.229023899155281,0.2801925714597099,-74.37740208898768,73.41163381139174,-116.19905756878293,0.2837007791870565,156.28015517089221
A10-R10,WTRhand,92,1.84,True,-0.24202221071524282,-1.2912130045406927,0.286023610279779,-74.1620904530223,77.77202014039528,-128.7244958961131,0.3444758380915498,167.6857138243707
A10-R10,WTRhand,93,1.86,True,-0.21594732163772873,-1.3948483921082875,0.31941851349433215,-67.86782059723932,79.57165565839173,-135.08556085019404,0.44715702999104856,170.83851499895508
A10-R10,WTRhand,94,1.88,True,-0.18426254012116494,-1.469196879429949,0.33604342430118866,-59.69079286098487,85.83144804719933,-139.5310874814045,0.5183600815467564,174.35295409024604
A10-R10,WTRhand,95,1.9,True,-0.14860705643029543,-1.4896229577629427,0.32074235595007916,-58.45374030334037,101.90457832003355,-145.52549062683076,0.5309919243469907,187.02687309639225
A10-R10,WTRhand,96,1.92,True,-0.11095302671753436,-1.4885668188525611,0.29926724232973323,-70.8395977913826,130.21295353085756,-151.11830570020086,0.5224002859492174,211.6846810711004
A10-R10,WTRhand,97,1.94,True,-0.09236147001311673,-1.5098193561938038,0.3068884947918937,-95.07148723888784,167.38131371393223,-152.58943273571117,0.5434589977437336,245.63922090949143
A10-R10,WTRhand,98,1.96,True,-0.11160736655149302,-1.561640362675732,0.34998737581788464,-120.84124917248293,203.83045888961797,-149.19626927301857,0.6042655608839953,280.01605353569533
A10-R10,WTRhand,99,1.98,True,-0.15657046418725962,-1.615207183592557,0.39955295152699655,-136.66542710070047,229.19970665849593,-143.45450118436588,0.6712423873450399,302.9672233212905
A10-R10,WTRhand,100,2.0,True,-0.19308477777146754,-1.6391889357011376,0.42067749988052977,-138.6109971878861,239.20588257976914,-138.50509314119483,0.7032884832692956,309.2185693457583
A10-R10,WTRhand,101,2.02,True,-0.19893503262978313,-1.6271939364317691,0.4040265373165004,-132.09059148912468,237.30796974597632,-136.1748597819338,0.6883639112536406,303.8199949008185
A10-R10,WTRhand,102,2.04,True,-0.18022599466338535,-1.5950284606100544,0.3678807393577091,-125.56962010101685,230.54018091555278,-136.51074906006787,0.6467948984918739,295.89134681134277
A10-R10,WTRhand,103,2.06,True,-0.15832461274947274,-1.5625999126750334,0.3363496331309735,-123.18292024581154,223.8283905370376,-137.9699073459635,0.6062117686661472,290.3599069839711
A10-R10,WTRhand,104,2.08,True,-0.14924641169317335,-1.542209271266386,0.32017717813923774,-122.60343200759431,216.6362467083727,-138.22783549771074,0.5821495988636758,284.7275881159286
A10-R10,WTRhand,105,2.1,True,-0.15429608241464782,-1.5358845048122476,0.31347628436586117,-118.27393956564362,203.9807997785427,-135.66629592784773,0.5751240821061359,272.03351872417085
A10-R10,WTRhand,106,2.12,True,-0.16303420896752932,-1.5356075958840505,0.30199716535323984,-106.5502041461998,181.7433180651131,-130.5198110124404,0.573490746624159,247.82857125770806
A10-R10,WTRhand,107,2.14,True,-0.1619639052248846,-1.527946069649156,0.27459629185519324,-88.99390361394941,151.81623982000224,-124.53121402532022,0.560850608435228,215.5831830643417
A10-R10,WTRhand,108,2.16,True,-0.14269845067795656,-1.5053060704992351,0.23139486623364924,-71.00703251811365,120.84051549145667,-119.35209339339147,0.5296577387857146,184.0906055415492
A10-R10,WTRhand,109,2.18,True,-0.10513211274880241,-1.4741181804942622,0.18445306249997265,-56.70495904012084,93.11278201151865,-115.19012520125752,0.4893287425751105,158.60078025516694
A10-R10,WTRhand,110,2.2,True,-0.05478846837500346,-1.4479022029563926,0.15103832923677246,-45.378453400188135,66.47772511467714,-110.9498156386336,0.45678932673584915,137.0706152304804
