Camera,Point_ID,X_m,Y_m,Z_m,Clicked_X_px,Clicked_Y_px,Projected_X_px,Projected_Y_px,Residual_px,Camera_true_RMSE_px,Robust_inlier_count,Robust_inlier_RMSE_px
cam01,P33,3.450000047683716,5.099999904632568,1.5,1142.132568359375,227.27487182617188,1141.008431188778,232.92063405522435,5.756588879302848,8.946770063264804,19,3.4554393974991564
cam01,P34,3.450000047683716,5.099999904632568,2.0,1135.5709228515625,152.90951538085938,1140.3968431527865,159.64782662418872,8.288205183617515,8.946770063264804,19,3.4554393974991564
cam01,P35,3.450000047683716,5.099999904632568,2.299999952316284,1136.66455078125,104.79075622558594,1139.9825330048698,115.16268390759217,10.889714866653943,8.946770063264804,19,3.4554393974991564
cam02,P01,-2.700000047683716,0.75,0.0,103.2048110961914,484.2727966308594,119.44745589895467,464.109610577549,25.891650816607704,16.999750135250096,12,3.9652677735189528
cam02,P02,-1.350000023841858,0.75,0.0,235.53140258789062,560.8253784179688,235.06315099135497,543.8575880358054,16.974250204668632,16.999750135250096,12,3.9652677735189528
cam02,P03,0.0,0.75,0.0,409.41510009765625,659.2501220703125,394.5806141445304,651.0105208522629,16.969177992052934,16.999750135250096,12,3.9652677735189528
cam02,P04,1.350000023841858,0.75,0.0,643.447265625,794.8574829101562,628.0553757929056,801.5087049968465,16.767499153117857,16.999750135250096,12,3.9652677735189528
cam02,P05,2.700000047683716,0.75,0.0,996.6826782226562,998.2686157226562,998.8808500959008,1023.9819515199807,25.80712299754259,16.999750135250096,12,3.9652677735189528
cam02,P06,-2.700000047683716,2.1500000953674316,0.0,408.3215026855469,432.8731994628906,418.660438863005,434.2229271758797,10.426666110543854,16.999750135250096,12,3.9652677735189528
cam02,P07,-1.350000023841858,2.1500000953674316,0.0,563.6138305664062,496.302490234375,561.4275987240679,496.8130264280834,2.2450516416199067,16.999750135250096,12,3.9652677735189528
cam02,P08,0.0,2.1500000953674316,0.0,759.3696899414062,572.8550415039062,749.8770905550577,576.2816664381746,10.092135628788077,16.999750135250096,12,3.9652677735189528
cam02,P09,1.350000023841858,2.1500000953674316,0.0,1010.8995971679688,670.1861572265625,1008.9593005904007,679.4644410197657,9.478992612938296,16.999750135250096,12,3.9652677735189528
